last_name, first_name,year,b_home_run,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,
Castro, Harold,2019,5,0.291,0.265,0.383,0.288,0.283,0.118,87.2,8.5,
Arcia, Orlando,2019,15,0.223,0.230,0.369,0.287,0.293,0.139,88,6.8,
Tapia, Raimel,2019,9,0.275,0.265,0.388,0.299,0.299,0.123,87.6,7.5,
Aquino, Aristides,2019,19,0.259,0.251,0.508,0.341,0.310,0.257,87.9,18.2,
Hernandez, Teoscar,2019,26,0.230,0.220,0.455,0.318,0.298,0.235,91.2,15.3,
Peraza, Jose,2019,6,0.239,0.271,0.372,0.304,0.318,0.101,84.9,17.4,
Marte, Ketel,2019,32,0.329,0.305,0.531,0.380,0.368,0.226,90,11.5,
Greiner, Grayson,2019,5,0.202,0.204,0.337,0.258,0.254,0.133,86.7,12.7,
Nimmo, Brandon,2019,8,0.221,0.221,0.356,0.337,0.384,0.136,89.3,12.2,
Peterson, Jace,2019,2,0.220,0.257,0.396,0.302,0.303,0.139,88.4,9.5,
Turner, Trea,2019,19,0.298,0.283,0.462,0.344,0.341,0.179,90.4,9.9,
Smith, Kevan,2019,5,0.251,0.296,0.463,0.354,0.359,0.167,89.5,5.7,
Beaty, Matt,2019,9,0.265,0.279,0.434,0.329,0.330,0.155,89.4,10.2,
Pillar, Kevin,2019,21,0.259,0.266,0.416,0.304,0.296,0.151,86.4,14.1,
Stallings, Jacob,2019,6,0.262,0.265,0.434,0.322,0.329,0.169,89.2,11.3,
Travis, Sam,2019,6,0.215,0.223,0.381,0.284,0.285,0.159,89.1,8,
Williamson, Mac,2019,4,0.156,0.201,0.301,0.268,0.290,0.100,85.3,8.5,
Ramirez, Jose,2019,23,0.255,0.272,0.467,0.346,0.345,0.195,89.2,19.8,
Bregman, Alex,2019,41,0.296,0.272,0.465,0.380,0.409,0.193,89.3,19.6,
Gallo, Joey,2019,22,0.253,0.226,0.597,0.394,0.370,0.370,94.6,22.2,
Kelly, Carson,2019,18,0.245,0.251,0.473,0.344,0.353,0.222,89,14.3,
Russell, Addison,2019,9,0.237,0.230,0.367,0.295,0.305,0.137,86.9,9.1,
Seager, Corey,2019,19,0.272,0.261,0.468,0.335,0.325,0.207,88.8,14.1,
Williams, Nick,2019,2,0.151,0.219,0.366,0.270,0.261,0.147,86.7,10.9,
Winker, Jesse,2019,16,0.269,0.284,0.453,0.357,0.372,0.169,89.1,7.5,
Lugo, Dawel,2019,6,0.245,0.263,0.397,0.295,0.290,0.134,86.8,7.9,
Mazara, Nomar,2019,19,0.268,0.269,0.486,0.341,0.322,0.217,89.1,10.4,
Murphy, Tom,2019,18,0.273,0.220,0.440,0.303,0.276,0.220,90.6,18.9,
Guzman, Ronald,2019,10,0.219,0.241,0.438,0.332,0.332,0.198,85.7,14.6,
Plawecki, Kevin,2019,3,0.222,0.225,0.367,0.291,0.293,0.143,85.6,15.3,
Mondesi, Adalberto,2019,9,0.263,0.238,0.393,0.290,0.274,0.155,88.8,10,
Reyes, Franmil,2019,37,0.249,0.265,0.543,0.364,0.329,0.278,93.3,9.5,
Robertson, Daniel,2019,2,0.213,0.214,0.299,0.281,0.314,0.085,87.7,5.8,
Lopes, Tim,2019,1,0.270,0.224,0.330,0.292,0.320,0.107,85,8.7,
Martin, Richie,2019,6,0.208,0.219,0.313,0.260,0.271,0.094,83.2,9.4,
Swanson, Dansby,2019,17,0.251,0.275,0.490,0.357,0.350,0.215,89.9,14.4,
Newman, Kevin,2019,12,0.308,0.282,0.387,0.314,0.329,0.106,85.3,8.5,
Taylor, Chris,2019,12,0.262,0.242,0.405,0.309,0.317,0.163,86.1,13.8,
Correa, Carlos,2019,21,0.279,0.288,0.558,0.395,0.376,0.270,89,12.6,
Dahl, David,2019,15,0.302,0.267,0.487,0.343,0.324,0.219,88.7,11.2,
Buxton, Byron,2019,10,0.262,0.251,0.441,0.316,0.304,0.190,90.1,20.4,
Brinson, Lewis,2019,0,0.173,0.206,0.305,0.253,0.267,0.099,87,10,
Duggar, Steven,2019,4,0.234,0.233,0.355,0.278,0.280,0.123,85.7,9,
Stewart, DJ,2019,4,0.238,0.235,0.408,0.313,0.316,0.173,87.9,12.9,
Nido, Tomas,2019,4,0.191,0.199,0.327,0.240,0.238,0.129,87.3,7.1,
Stewart, Christin,2019,10,0.233,0.248,0.439,0.323,0.321,0.191,86.9,19.1,
Wendle, Joey,2019,3,0.231,0.258,0.344,0.295,0.319,0.086,87.4,11.6,
Olson, Matt,2019,36,0.267,0.283,0.590,0.395,0.367,0.307,92.7,19,
Dean, Austin,2019,6,0.225,0.259,0.431,0.307,0.294,0.172,88.7,9.4,
Duffy, Matt,2019,1,0.252,0.261,0.341,0.319,0.355,0.080,87,5.5,
Munoz, Yairo,2019,2,0.267,0.221,0.312,0.253,0.255,0.092,84.7,6.2,
Margot, Manuel,2019,12,0.234,0.227,0.339,0.282,0.299,0.111,87.7,14.2,
Reyes, Pablo,2019,2,0.203,0.191,0.287,0.248,0.264,0.097,88.2,12.2,
Camargo, Johan,2019,7,0.233,0.253,0.368,0.288,0.298,0.116,86.9,11.1,
Reyes, Victor,2019,3,0.304,0.277,0.382,0.302,0.312,0.104,87.6,9.2,
Bote, David,2019,11,0.257,0.248,0.387,0.325,0.355,0.139,89.7,7.7,
Ramirez, Harold,2019,11,0.276,0.272,0.414,0.313,0.310,0.142,88.9,3.8,
Santander, Anthony,2019,20,0.261,0.264,0.464,0.322,0.300,0.201,89.9,15.3,
Alonso, Pete,2019,53,0.260,0.258,0.545,0.379,0.358,0.288,90.7,14.8,
Biggio, Cavan,2019,16,0.234,0.243,0.434,0.351,0.371,0.191,88.9,20.1,
Conforto, Michael,2019,33,0.257,0.266,0.513,0.374,0.373,0.247,89.2,16,
Frazier, Adam,2019,10,0.278,0.279,0.408,0.323,0.338,0.129,87.2,13,
Trevino, Jose,2019,2,0.258,0.246,0.359,0.266,0.263,0.114,86.8,8.3,
McGuire, Reese,2019,5,0.299,0.258,0.394,0.304,0.308,0.137,86.7,13.1,
Puig, Yasiel,2019,24,0.267,0.262,0.461,0.334,0.324,0.199,90,13.8,
Soler, Jorge,2019,48,0.265,0.278,0.596,0.397,0.366,0.318,92.6,15.5,
